full_name,height_cm,weight_kgs
Aurélien Tchouaméni,185.42,79.8
Jhonatan Luiz da Siqueira,187.96,78.9
Rodrigo Eduardo Echeverría Sáez,154.94,73
Alessandro Bernardini,190.5,73
Benno Schmitz,182.88,74.8
Dimitri Bisoli,154.94,72.1
Idrissa Sylla,185.42,73
Michael  Dawson,187.96,76.2
Ahmed Fathy Abdel Meneim Ibrahim,175.26,76.2
Eduard Löwen,187.96,91.2
Robert Green,187.96,92.1
Léandre Tawamba,187.96,84.8
Pablo Ignacio Galdames Millán,175.26,68
Marius Müller,193.04,89.8
Unai Medina Pérez,152.4,78
Sami Allagui,152.4,77.1
Adrián Jesús Bastía Beruzzi,152.4,73.9
Tobias Kempe,182.88,77.1
Zargo Touré,182.88,78.9
Fidel Chaves de la Torre,154.94,73.9
Ondřej Kolář,193.04,81.2
James Alexander Lawrence,187.96,81.2
Jamie Maclaren,152.4,76.2
Artur Sobiech,182.88,74.8
Anco Jansen,185.42,77.1
Francesco Zampano,152.4,73.9
Kevin Stuhr-Ellegaard,195.58,93
Mark Bunn,182.88,77.1
Juan José Ciércoles Sagra,175.26,67.1
Denis Odoi,152.4,72.1
Joel Ngandu Kayamba,152.4,66.2
Michel Morganella,182.88,78
Volkan Fındıklı,190.5,83.9
Denilson Pereira Junior,187.96,72.1
Juan Sebastián Villota Vargas,170.18,68.9
Ismael López Blanco,152.4,74.8
Blas Riveros,152.4,68
Issam Chebake,175.26,73
Franz Hermann Schultz Ramírez,172.72,72.1
Filip Kurto,190.5,92.1
Sergio Andrés Mosquera Zapata,185.42,77.1
Felipe Ignacio Seymour Dobud,175.26,78
Reza Ghoochannejhad Nournia,154.94,76.2
Riccardo Maniero,182.88,74.8
Norman Theuerkauf,182.88,79.8
Frank Fielding,185.42,76.2
Carlos Lampe,193.04,86.2
Ayaz Guliev,170.18,63
Luciano Renato Cacheira Sá,154.94,74.8
Alberto Jiménez Benítez,185.42,78
Joseph-Claude Gyau,175.26,74.8
Benedikt Gimber,185.42,83
Camilo Bryan Rodríguez Pedraza,170.18,66.2
Kévin Fortuné,182.88,79.8
驹井 善成,167.64,64
Niclas Eliasson,152.4,72.1
Levent Gülen,185.42,77.1
Gleidionor Figueiredo Pinto Júnior,187.96,83
Selim Ay,182.88,79.8
Yesus Segundo Cabrera Ramírez,167.64,59.9
Ahmed El Messaoudi,182.88,79.8
Marcos Mauro López,187.96,79.8
Amir Rrahmani,193.04,87.1
Calogero Rizzuto,170.18,73
Roldão Tony Riso Cardenas,152.4,78
Kelyn Rowe,172.72,69.9
Yonathan Emanuel Cabral,187.96,84.8
Badra Ali Sangaré,154.94,78
Dustin Bomheuer,193.04,86.2
Lee Gregory,187.96,79.8
Alexandre Geijo Pazos,187.96,81.2
Nathan Byrne,172.72,69.9
Anderson José Lopes de Souza,185.42,82.1
Antonio Rosati,195.58,81.2
장현수 张贤秀,187.96,77.1
Isaac Sackey,190.5,88
Jannik Huth,185.42,79.8
Terence Mpho Makola,172.72,69.9
Janis Blaswich,193.04,88
Rafael López Gómez,152.4,72.1
Lefteris Choutesiotis,185.42,86.2
Evangelos Oikonomou,185.42,81.2
Fabio Depaoli,152.4,71.2
Steven  Taylor,187.96,91.2
Bruno Martella,182.88,78
Maciej Dąbrowski,193.04,88
Pedro Filipe Figueiredo Rodrigues,182.88,68.9
Elias Cobbaut,187.96,83
Cameron Carter-Vickers,182.88,92.1
Nicola Dalmonte,170.18,73
Luiz Fernando da Silva Monte,182.88,73
Robin Pröpper,193.04,83.9
Mohamed  Hamdy Sharaf,172.72,72.1
Walter Alberto López Gasco,182.88,83
Pierre-Yves Hamel,185.42,67.1
Facundo Píriz,187.96,81.2
Per Kristian Worre Bråtveit,182.88,72.1
Javier Guerra Rodríguez,152.4,76.2
Maximilian Sax,152.4,69.9
Daniel Keita-Ruel,185.42,78.9
Maksym Koval,187.96,83.9
Ali Gholizadeh,175.26,68.9
铃木 大輔,182.88,73.9
Fernando Pellegrino,198.12,89.8
Oussama Darfalou,182.88,79.8
Ezri Konsa,182.88,77.1
Ventura Alvarado,154.94,77.1
Patricio Rodríguez,170.18,59.9
Daniel Gordon,193.04,84.8
Felipe Castaldo Curcio,182.88,74.8
Théo Valls,154.94,74.8
Nicolas Haas,154.94,73.9
Justen Glad,185.42,72.1
Will Bruin,187.96,88
Joe Benny Corona Crespín,152.4,72.1
Gianmarco Zigoni,187.96,79.8
Miroslav Radović,182.88,78
Louis Elliott Moult,182.88,84.8
Joaquín Matías Ardaiz de los Santos,182.88,81.2
Ortwin De Wolf,190.5,83
Jonathan Martins Pereira,182.88,78
Alan Jonathan Patrício Botelho,154.94,73
Javier Muñoz Jiménez,175.26,74.8
Lucas Ceballos,165.1,67.1
Jack Hunt,175.26,71.2
Laurens De Bock,152.4,74.8
Adrián Alexei Aldrete Rodríguez,152.4,74.8
Bruno Batista Pires,182.88,79.8
Jean-Charles Castelletto,185.42,78
Waleed Bakhashwain,175.26,66.2
Ayman Ashraf,175.26,73
Andraž Šporar,185.42,82.1
Daniel Hernández,175.26,64.9
Diederik Boer,193.04,88.9
Mehdi Zeffane,175.26,71.2
Tiago Abiola Delfim Almeida Ilori,190.5,79.8
Moses Odubajo,152.4,72.1
Ricard Puig Martí,170.18,55.8
Miguel Ibarra,165.1,64.9
Alexis Rafael Pérez Fontanilla,152.4,77.1
Diogo Alexis Rodrigues Coelho,182.88,83
Matías Nicolás Rojas Romero,185.42,78
Alfonso Cristián Parot Rojas,154.94,81.2
Francisco José Sandaza Asensio,187.96,79.8
Daniel Sundgren,152.4,68.9
Omri Altman,154.94,76.2
Gonzalo Maroni,170.18,67.1
Harold Moukoudi,190.5,88.9
Lucas Tagliapietra,193.04,93.9
Kenan Kodro,187.96,77.1
Sam Gallagher,193.04,74.8
Alexandre Henrique Gonçalves De Freitas,175.26,68
Alejandro López Moreno,175.26,68
Ezequiel Oscar Scarione,152.4,71.2
Marc Janko,195.58,92.1
Steven Mehrdad Beitashour,152.4,71.2
Markus Schubert,185.42,83
Justin Hoogma,190.5,81.2
Juan José Narváez,154.94,76.2
Ezequiel Rescaldani,190.5,83
Mohammed Abu,170.18,68
Markus Karl,193.04,88
Cristian Daniel Arango Duque,152.4,78
Rubenilson dos Santos da Rocha,182.88,83.9
Jerdy Schouten,185.42,72.1
Patrick Hoban,154.94,83.9
戴琳,190.5,77.1
Fabrice N'Sakala,152.4,73.9
Eros Pisano,185.42,83
Florent Balmont,167.64,72.1
Christoph Leitgeb,172.72,68.9
Jarosław Niezgoda,185.42,73
Lee Wallace,185.42,74.8
Marvin Gakpa,182.88,69.9
Christopher Cadden,182.88,76.2
Ernesto Torregrossa,182.88,79.8
Carlos Strandberg,185.42,84.8
Salim Khelifi,172.72,64.9
Joe Abrigo,170.18,66.2
Luca Mora,182.88,79.8
东庆 悟,152.4,72.1
Rômulo Roberto Selva Esser,152.4,72.1
Paweł Dawidowicz,187.96,79.8
Funso-King Ojo,152.4,71.2
三竿 健斗,154.94,73
Ioannis Mystakidis,154.94,76.2
Zacharie Boucher,154.94,76.2
Juan Aguilera Aguilera Núñez,185.42,77.1
Alexei Coșelev,200.66,89.8
Anastasios Avlonitis,190.5,81.2
Hueglo dos Santos Neris,193.04,86.2
Dimitri Oberlin,182.88,73.9
Diego Sánchez Carvajal,182.88,86.2
Birkir Bjarnason,182.88,77.1
Kik Pierie,182.88,74.8
Hernán Daniel Santana Trujillo,154.94,72.1
Jorge Carrascal,167.64,54
Ailton Nuno Cardenhas Macedo,193.04,83.9
Stefan Thesker,190.5,83.9
Ramón Ignacio Fernández,172.72,71.2
Jean Thierry Lazare Amani,172.72,64
David Antonio Llanos Almonacid,172.72,68
Hervé Bazile,182.88,78
Youssouf M'Changama,172.72,68.9
Michael Agazzi,190.5,79.8
Johannes van den Bergh,182.88,74.8
Cédric Kipré,193.04,96.2
Jannes-Kilian Horn,185.42,77.1
Boris Alexis Sagredo Romero,165.1,63
Anton Mitryushkin,187.96,82.1
Nick Lima,175.26,79.8
Robert Gumny,152.4,60.8
Denis Tonucci,182.88,78
Michal Sáček,154.94,69.9
Bruno Brígido de Oliveira,187.96,76.2
Mamadou Koné,175.26,68.9
Didier Lamkel Zé,193.04,78
Robin Krauße,152.4,74.8
Mauro Bogado,170.18,68
Peniel Kokou Mlapa,193.04,93
Petteri Forsell,167.64,72.1
Tomasz Jodłowiec,190.5,86.2
黄博文,152.4,64.9
José Manuel Rojas Bahamondes,175.26,74.8
Raffaele Schiavi,182.88,73
Juan Eduardo Fuentes Jiménez,175.26,72.1
Eddy Silvestre Pascual Israfilov,190.5,79.8
Philip Türpitz,152.4,73.9
Miguel Araujo,152.4,71.2
Tarkan Serbest,182.88,78
Jhonathan Rafael Ramis Persíncula,152.4,77.1
Fatih Öztürk,190.5,86.2
Marco Modolo,185.42,82.1
Jamie Walker,175.26,69.9
Loïc Damour,154.94,74.8
Issam Jebali,185.42,83.9
Antonee Robinson,182.88,64
Samuel Souprayen,187.96,69.9
Jason Holt,165.1,69.9
Aiden O'Brien,182.88,72.1
Marin Leovac,154.94,71.2
Georg Niedermeier,190.5,79.8
José Vítor Moreira Semedo,182.88,77.1
Colin Kazim-Richards,187.96,94.8
Lucas Melano,185.42,81.2
Emanuel Brítez,154.94,78
Jon-Miquel Toral Harper,182.88,77.1
Fabián Alberto Cubero,175.26,72.1
Nils Röseler,190.5,69.9
Marco Richter,175.26,73.9
Adam Le Fondre,175.26,73
John Fredy Pérez Lizarazo,175.26,67.1
Mauro Vigorito,187.96,78.9
Ricardo Jorge Tavares Machado,190.5,79.8
Jérémy Taravel,190.5,84.8
Daniel Cataño,175.26,74.8
César Henrique Martins,193.04,83
Leandro Damián Marcelo Grimi,182.88,73.9
Danilo Soddimo,154.94,69.9
Álvaro López Ratón,193.04,83.9
Brahim Díaz,170.18,68
Césario Marco Figueirido Pesso,190.5,87.1
Tom van Weert,154.94,73
Mathías Damián Riquero Beretta,152.4,76.2
Gerardo Flores Zúñiga,175.26,74.8
Jens Stage,185.42,83
Marc Wilson,187.96,79.8
Alberto Perea Correoso,175.26,68
Avtandil Ebralidze,175.26,72.1
Mohammed Jahfali,185.42,69.9
Jordon Mutch,182.88,81.2
Malik Tchokounté,190.5,89.8
Pablo José Rojas Cardales,167.64,72.1
Marvin Pourié,185.42,86.2
Luke Chambers,185.42,87.1
Vágner Nilson Norteiro Brito,165.1,62.1
Martin Cranie,182.88,78
Gabriel Airton de Souza,170.18,64
Jan Sýkora,170.18,62.1
Stephen Kingsley,152.4,77.1
吉田 豐,167.64,68.9
Tomislav Mrčela,195.58,88
David Fernando Lemos Cortés,175.26,72.1
Gonzalo Piovi,154.94,69.9
David Dias Resende Bruno,175.26,72.1
Heriberto Olvera Hernández,175.26,68.9
Maciej Sadlok,185.42,79.8
Stanley Nsoki,185.42,78
Edwin Alexis Velasco Uzuriaga,152.4,78
Marcel Gaus,182.88,79.8
Alejandro Díez Salomón,172.72,64
Dejan Ljubicic,185.42,73.9
오범석 吴范锡,154.94,77.1
Mohammad Ibrahim Al Sahlawi,152.4,73.9
Immanuel Höhn,182.88,72.1
Aridai Cabrera Suárez,167.64,59.9
Wanderson de Macedo Costa,185.42,79.8
송승민 宋晟敏,187.96,77.1
Fáider Fabio Burbano Castillo,170.18,69.9
Joey Pelupessy,172.72,63
Ben Watson,154.94,79.8
Sam Nicholson,175.26,71.2
Robert Zwinkels,185.42,79.8
Sam Baldock,170.18,67.1
Pontus Dahlberg,195.58,89.8
Tony Watt,182.88,76.2
Michael O'Halloran,154.94,78.9
Francesco Di Tacchio,185.42,81.2
Luis Ezequiel Ibáñez,170.18,73
Nemanja Ćalasan,187.96,81.2
Danijel Zagorac,185.42,79.8
Frederico Tomás Mutto Heck,152.4,78
Lluis López Marmol,182.88,78.9
Richard Wood,190.5,82.1
Andrea Fulignati,187.96,88
Liam Henderson,182.88,78
Felipe Ignacio Flores Chandia,152.4,69.9
Tom Pettersson,190.5,83
Adriano Montalto,185.42,78
Gerrit Nauber,185.42,74.8
Stephan Andrist,175.26,71.2
Luis Miguel Payares Blanco,185.42,78
Omar Gaber,175.26,71.2
Todd Kane,154.94,69.9
Agostino Garofalo,152.4,71.2
Steven De Petter,182.88,74.8
Ricardo Nuno dos Santos Nunes,154.94,73
Kristoffer Barmen,190.5,76.2
Alexandr Maksimenko,187.96,81.2
Leonardo Godoy,154.94,69.9
Thiago Martins Bueno,185.42,76.2
Diego Steven Gómez Maldonado,172.72,64.9
Johan Patricio Fuentes Muñoz,170.18,74.8
Jan Koprivec,185.42,81.2
Lucas Fernandes,175.26,69.9
Nosberto Diego Vila Abranches,175.26,74.8
David García Zubiria,185.42,72.1
Ryan Tunnicliffe,182.88,79.8
Collin Quaner,190.5,78.9
Thomas Ayasse,182.88,74.8
Julián Speroni,185.42,79.8
Matías Germán Melluso,170.18,63
Matty Taylor,175.26,72.1
이광혁 李光赫,170.18,63
Diego Alejandro Novoa Urrego,185.42,88
Stefano Sabelli,154.94,73.9
Torgil Gjertsen,175.26,73.9
Fernando García Puchades,152.4,68
Marko Poletanović,187.96,74.8
Hattan Bahebri,170.18,67.1
André Luís Silva de Aguiar,182.88,77.1
Krzysztof Mączyński,175.26,66.2
Kauã Ricardo Zanon Bardini,152.4,72.1
Stefano Minelli,182.88,76.2
Yangel Herrera,182.88,77.1
Lucas Luciano Medeirão Hoffman,152.4,73.9
Omar Andrés Rodríguez Martínez,152.4,72.1
Jacob Rasmussen,190.5,81.2
Jarosław Kubicki,154.94,69.9
Efraín Velarde Calvillo,175.26,69.9
Filippo De Col,182.88,83
Juan Manuel Delgado Lloria,187.96,78.9
Manuel Jesús Vázquez Florido,170.18,59
Valentín Nicolás Viola,182.88,76.2
Luke Murphy,185.42,73.9
Nikolas Spalek,170.18,63
Brooks Lennon,152.4,69.9
김용욱 金永旭,152.4,69.9
Jonathan Iglesias,170.18,68.9
Francisco Javier Hernández González,182.88,79.8
Rami Bedoui,187.96,77.1
박용우 朴镕宇,185.42,79.8
王燊超,154.94,72.1
Lucas Adrián Hoyos,182.88,76.2
Johannes Brinkies,187.96,87.1
Zarek  Valentin,182.88,73
Marcos Curado,187.96,79.8
Iván Villar Martínez,187.96,78.9
Mads Fenger,185.42,81.2
Luke DeVere,185.42,88
天野 纯,175.26,64
Benjamin Van Durmen,185.42,78.9
Andrew Nabbout,152.4,83
Emyr Huws,152.4,73
Jakob Jantscher,154.94,68.9
邹正,152.4,69.9
喜田 拓也,170.18,63
Adão Dênis Salvador Vidigal,175.26,68.9
Timo Perthel,185.42,83
Martin Chrien,182.88,72.1
Nico Pulzetti,175.26,69.9
이동국 李东国,187.96,83
Tom Eaves,190.5,86.2
Jesús Angulo,154.94,73
Manuel Reina Rodríguez,185.42,79.8
David Concha Salas,152.4,69.9
Waylon Francis,175.26,73
Andrew Hughes,190.5,81.2
Andrés Fernandes Gonçalves,154.94,83
Vahid Amiri,154.94,74.8
Anthony D'Alberto,152.4,73.9
Grégory Bourillon,187.96,78
Khaleem Hyland,182.88,79.8
Mohamed Abdul Shafy Sayed Abouezeid,170.18,71.2
Zakarya Bergdich,152.4,68.9
Yasser Abdullah Al Mosailem,182.88,83.9
Laurent Abergel,172.72,69.9
Lorenzo Laverone,175.26,69.9
Ben Zolinski,154.94,78
Miguel Herrera,182.88,81.2
Yann-Erik de Lanlay,154.94,72.1
Theofanis Mavromatis,185.42,78
Fred Marcos Cardouso Pombal,172.72,69.9
Lucas Fernandes da Silva,175.26,71.2
Patrick Mainka,193.04,86.2
Juan Alejandro Mahecha Molina,175.26,69.9
Moritz Kuhn,152.4,76.2
Walter Saúl Andrade,190.5,86.2
Albert Alejandro Acevedo Vergara,175.26,73.9
Lucas Chiaretti,170.18,67.1
Alex  Baptiste,154.94,73.9
Dylan McGowan,185.42,79.8
Anton Kochenkov,195.58,83
Jop van der Linden,187.96,73.9
Rudy Camacho,185.42,78.9
曾端 准,187.96,79.8
Jimmy Dunne,182.88,74.8
Ciprian Ioan Deac,152.4,73.9
Billy Kee,175.26,72.1
Yari Verschaeren,172.72,63
Sergio Gómez Martín,170.18,68
Edon Zhegrova,154.94,66.2
Mato Miloš,175.26,69.9
Jack Payne,165.1,59.9
Denys Bain,154.94,73.9
박준혁 朴俊赫,185.42,76.2
Maximilian Beister,154.94,81.2
仓田 秋,172.72,68
Stephan Maigaard Andersen,187.96,84.8
Joe Rodon,193.04,76.2
Sérgio Romeo Marakis,152.4,76.2
Marco André Silva Lopes Matias,152.4,67.1
Aldo Cruz,172.72,62.1
Ronaldo Peña,182.88,78
Enzio Leandro Julião Morrinhos,185.42,78
Patrick Friday Eze,185.42,78
刘彬彬,152.4,66.2
Eduardo da Silva Nascimento Neto,185.42,76.2
Gevorg Ghazaryan,154.94,73
Lalas Abubakar,182.88,82.1
Bruno Pittón,175.26,69.9
Luka Zahović,152.4,64.9
Dominique Badji,182.88,78.9
Zeki Yavru,152.4,78
吴兴涵,182.88,73.9
David Mitov Nilsson,190.5,86.2
Víctor Dávila,172.72,69.9
김인성 金仁成,154.94,73.9
Dario Frederico da Silva,154.94,72.1
Felix Müller,152.4,71.2
Humberto Osorio,152.4,78
Aleksandar Vukotić,203.2,94.8
大森 晃太郎,170.18,69.9
Grejohn Kyei,187.96,83.9
Nassim Ben Khalifa,185.42,78.9
Chris Martin,185.42,73
Gustavo Torres,154.94,77.1
Juan Brunetta,175.26,68
Eliseu Mendja Nadjack Soares Cassamá,182.88,73.9
西 大伍,175.26,73
Emanuel Taffertshofer,175.26,71.2
Francesc Xavier Molina Arias,182.88,78
Steven Fortès,193.04,84.8
Osayamen Osawe,154.94,78.9
Niklas Lomb,187.96,83.9
Michael Zullo,170.18,63
Jesús Olmo Lozano,152.4,82.1
Eddie Livington Segura Martínez,182.88,78
Alexis Claude Maurice,175.26,62.1
Cláudio Falcão Santos,170.18,62.1
Jasmin Fejzić,198.12,94.8
武藤 雄樹,170.18,68
Adam Larsen Kwarasey,190.5,76.2
Duane Holmes,172.72,64.9
Luca Ghiringhelli,182.88,76.2
Amari'i Bell,154.94,77.1
Curtis Edwards,154.94,69.9
Miguel Ángel Martínez,187.96,88.9
Denis Will Poha,172.72,72.1
Duncan Watmore,175.26,72.1
Damián Marcelino Moreno,167.64,64.9
Umar Sadiq,193.04,79.8
Jérôme Prior,187.96,86.2
James Humberto Quiñónes Caicedo,172.72,72.1
José Egas dos Santos Branco,182.88,74.8
Tom De Sutter,193.04,87.1
José Ignacio González Catalán,187.96,81.2
Eduardo Herrera Aguirre,187.96,86.2
José Ignacio Pallas Martínez,190.5,87.1
Jackson Yueill,152.4,74.8
Uche Ikpeazu,190.5,78
Stanley Elbers,172.72,66.2
Mads Reginiussen,175.26,69.9
Halil Akbunar,167.64,60.8
Ben  Amos,193.04,76.2
Lassana Coulibaly,175.26,67.1
Ali Al Bulayhi,182.88,83
Orhan Ovacıklı,152.4,71.2
Max Power,154.94,77.1
林 昭大,195.58,91.2
Yoëll van Nieff,182.88,82.1
Sven Schipplock,185.42,83.9
Samuel Mraz,182.88,78
Yacouba Coulibaly,175.26,68
Fágner Ironi Daponte,185.42,83
Grant Hall,190.5,71.2
James Jeggo,152.4,71.2
Moritz Hartmann,182.88,77.1
Davide Petrucci,182.88,76.2
Juan Carlos Sánchez Martínez,182.88,76.2
Ray Sandoval,170.18,72.1
Fredrik Aursnes,152.4,71.2
Arnór Ingvi Traustason,154.94,77.1
Lewis MacLeod,175.26,72.1
Jonathan Parr,182.88,74.8
Isaac Becerra Alguacil,154.94,79.8
Bojan Nastić,182.88,79.8
Sam Johnson,152.4,73.9
Eamonn Brophy,175.26,68
Fredrik Semb Berge,187.96,82.1
Gustavo Andrés Páez Martínez,152.4,69.9
Nuno Miguel Adro Tomás,182.88,83.9
Musa Araz,172.72,68.9
Larry Azouni,175.26,73
Motjeka Madisha,154.94,74.8
Wilfried Kanga,182.88,76.2
Samuel Şahin-Radlinger,195.58,83
Lamine Gassama,154.94,73.9
Rajko Rotman,187.96,79.8
Yves Baraye,152.4,68.9
Mario Barco Vilar,182.88,78
Kacper Przybyłko,193.04,86.2
Korbinian Vollmann,175.26,69.9
Maphosa Modiba,170.18,69.9
Ibrahima Conté,190.5,82.1
Franco Sbuttoni,190.5,87.1
Nouha Dicko,172.72,73.9
Jair Eduardo Britto da Silva,152.4,82.1
Vincent Muratori,152.4,71.2
César Alexis Cortés Pinto,152.4,68.9
Gabriel Darío Carrasco,175.26,69.9
柏佳俊,165.1,64.9
Manuel Marras,167.64,63
Milan Lukač,198.12,89.8
Trevoh Chalobah,190.5,74.8
Emmanuel Boateng,167.64,69.9
Martin  Bjørnbak,193.04,89.8
George Saunders,175.26,73.9
Domenico Frare,187.96,77.1
Zdeněk Zlámal,193.04,92.1
Gökhan Akkan,185.42,79.8
Hassane Kamara,167.64,67.1
Eroll Zejnullahu,152.4,73
Jordan Moore-Taylor,152.4,83
José Baxter,175.26,73.9
Silvester van der Water,154.94,69.9
최재현 崔在勋,182.88,77.1
David Mateos Rocha,152.4,77.1
Fabrizio Poli,185.42,74.8
Matthieu Dreyer,187.96,81.2
Tomás Nicolas Nuninho Alfaro,187.96,83
Roberto Pirrello,190.5,76.2
Daniel Mesenhöler,187.96,83
Bruno Sebastián Romo Rojas,185.42,86.2
Joe Newell,185.42,78.9
Daniel Lafferty,154.94,76.2
Emeka Friday Eze,185.42,79.8
Sofian Kiyine,182.88,74.8
Ozan Muhammed Kabak,185.42,86.2
하창래 河昌莱,187.96,83
Cristián Daniel Gutiérrez Zúñiga,154.94,69.9
Víctor Hugo Soto Azcárate,190.5,81.2
Vitus Eicher,190.5,84.8
Jules Keita,167.64,55.8
Michael Lumb,152.4,78.9
Mickaël Alphonse,182.88,74.8
Mikey Devlin,187.96,78.9
Yerko Leiva,165.1,63
Philipp Riese,175.26,68
Muhannad Asiri,185.42,77.1
Sebastian Mielitz,187.96,83
Eros Grezda,182.88,77.1
Welliton Edson Helmes Junqueira,172.72,68.9
吉翔,185.42,78
Jakub Wójcicki,190.5,79.8
Aaron Seydel,198.12,89.8
Paul  McShane,182.88,81.2
Paulo Henrique Pereira da Silva,170.18,62.1
Miguel Flaño Bezunartea,152.4,69.9
Stevie May,152.4,67.1
Kingsley Dogo Michael,175.26,69.9
Teddy Bishop,152.4,67.1
Remi Matthews,182.88,78
Francisco Javier Rodríguez Ibarra,185.42,78
于睿,185.42,76.2
Sheraldo Becker,154.94,74.8
Alex Brosque,182.88,72.1
Shani Tarashaj,175.26,82.1
水本 裕貴,182.88,73.9
Jonathan Tinhan,152.4,71.2
Sebastian Vasiliadis,175.26,74.8
Rodrigo Naranjo,193.04,86.2
Bright Edomwonyi,182.88,77.1
Niklas Dams,182.88,77.1
Stefano Pettinari,185.42,78.9
Francisco Gámez López,175.26,71.2
Rico Preißinger,185.42,81.2
Luis Gutiérrez,154.94,86.2
Marc Heider,187.96,82.1
Stefan Knežević,187.96,81.2
Gianni Munari,190.5,83.9
Ricardo Cavalcante Mendes,175.26,68.9
Marios Vrousai,152.4,76.2
박동진 朴东景,182.88,72.1
Duván Vergara,172.72,72.1
Andreas Maxsø,193.04,88.9
Sebastián Javier Rodríguez Iriarte,154.94,78
Martín Iván Bravo,167.64,72.1
Jean Ruiz,187.96,79.8
Marc Andre Schmerböck,154.94,73
Radoslav Vasilev,185.42,73.9
Łukasz Załuska,190.5,88
Dylan Patricio Zúñiga Valenzuela,170.18,73
Romário Pereira Sipião,172.72,72.1
Marco Paulo da Silva Soares,182.88,79.8
秦升,182.88,76.2
Bozhidar Konstantinov Mitrev,182.88,73.9
Jamie Hopcutt,154.94,73.9
Konstantinos Kotsaris,185.42,74.8
Wessel Dammers,185.42,81.2
정우재 郑宇宰,152.4,69.9
César Augusto Arias Moros,175.26,77.1
Marco Djuricin,182.88,79.8
Oguzhan Kefkir,172.72,72.1
Chris Antônio Farminhão Dias,187.96,77.1
Hadi Sacko,182.88,82.1
Ogou Edmond Akichi,152.4,74.8
Ylber Ramadani,182.88,69.9
Dylan De Belder,182.88,72.1
Gary O'Neil,172.72,60.8
Miguel Ángel Medina Asprilla,175.26,69.9
Eriq  Zavaleta,185.42,83.9
Clark Robertson,187.96,76.2
Chris Pontius,182.88,77.1
安西 幸輝,172.72,64
Francisco Javier Campos Coll,154.94,73.9
Shaun James Whalley,175.26,67.1
Lloyd Kelly,190.5,69.9
Babacar Gueye,193.04,83.9
Lucas Domínguez Irarrázabal,187.96,77.1
Thomas Geyer,152.4,71.2
Christian Gartner,154.94,76.2
Amin Nouri,154.94,77.1
Brayner Jesús De Alba Castro,167.64,64.9
Gonzalo Renzo Vera,182.88,86.2
Klaus Gjasula,193.04,83.9
Tomás Pochettino,152.4,71.2
Lukas Boeder,182.88,81.2
Michał Nalepa,187.96,79.8
Abdullah Fareed Al Hafith,185.42,77.1
Simon Kroon,182.88,73
Andreas Wiegel,152.4,69.9
Ayub Timbe Masika,170.18,59.9
Borja Viguera Manzanares,182.88,76.2
Kieran Agard,175.26,67.1
Silas Gnaka,152.4,64
Emanuel Joel Amoroso,185.42,69.9
吕文君,185.42,71.2
Kelle Roos,195.58,89.8
Steven Ruprecht,195.58,92.1
Basilio Sancho Agudo,185.42,83
Juan de Dios Prados López,182.88,74.8
Mohamed Awad,182.88,63
三浦 弦太,182.88,77.1
Renan Lorenzo Tojeiras Sampaio,152.4,78
Mehdi Terki,187.96,87.1
Francesco Migliore,172.72,74.8
Christopher Schorch,187.96,79.8
Roy Gelmi,187.96,78
Reece Oxford,190.5,78
Rasmus Würtz,152.4,72.1
Nils Schouterden,175.26,64.9
Achraf Bencharki,152.4,69.9
Saša Jovanović,175.26,74.8
Emanuele Ndoj,187.96,73.9
Philipp Mickel Klewin,193.04,86.2
Sean Raggett,195.58,88.9
Jefferson José Gómez Genes,182.88,78
Joaquim Claude Gonçalves Araújo,175.26,68.9
Max Lowe,175.26,73.9
Alexander Ludwig,182.88,84.8
Kevin Kratz,172.72,72.1
Christopher Handke,190.5,89.8
Vital N'Simba,167.64,67.1
Luis Enrique Robles Ramírez,170.18,69.9
Maximilian Sauer,152.4,69.9
Claudio Elías Sepúlveda Castro,175.26,73
Soufian Benyamina,190.5,78.9
Ayoub El Kaabi,182.88,74.8
Eduardo Sosa,170.18,74.8
James Justin,182.88,71.2
Rodrigo Salinas,190.5,81.2
Simone Andrea Ganz,175.26,68
Oriol Busquets Mas,185.42,77.1
Tony Mauricio,170.18,67.1
Joe Bendik,190.5,98
Giorgi Merebashvili,152.4,74.8
Slavoljub Srnic,172.72,67.1
Ferdi Erenay Kadıoğlu,172.72,64
Bakery Jatta,182.88,78.9
Rey Manaj,182.88,76.2
Gustavo Patrick Pastor Pombo,182.88,74.8
Elmo Lieftink,185.42,79.8
Renê Ferreira dos Santos,182.88,81.2
秋元 陽太,182.88,83.9
Hamza Sakhi,172.72,68
Dean Furman,182.88,73
Felix Beijmo,185.42,77.1
Teodoro Paredes,182.88,83
Venanzio Luis Meirás Correia,182.88,77.1
Kristoffer  Løkberg,175.26,68.9
Fabian Serrarens,187.96,83
Derrick Jones,193.04,74.8
Chris Maguire,170.18,68
Carlos Javier Abad Hernández Trujillo,193.04,88
Laurent Dos Santos,152.4,69.9
Claudio Ever Silbeiro Martins,182.88,74.8
Kévin Hoggas,182.88,77.1
Alexandre Costa Silva,152.4,68
Nicolás Rubio,167.64,66.2
Veton Berisha,175.26,71.2
Carlos Ruiz Aránega,182.88,79.8
Matteo Bruscagin,182.88,69.9
Leandro Paiva,162.56,55.8
Luis Jesús Rioja González,172.72,64.9
Paul Papp,187.96,79.8
Tobias Sana,175.26,72.1
Jalil Anibaba,182.88,77.1
Rafael Simão de Aseiro Vieira,190.5,84.8
